  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.020000     0.989994
  1   0.0100     0.020000     0.989994     0.029900     0.980081
  2   0.0200     0.029900     0.980081     0.039701     0.970251
  3   0.0300     0.039701     0.970251     0.049403     0.960498
  4   0.0400     0.049403     0.960498     0.059008     0.950808
  5   0.0500     0.059008     0.950808     0.068516     0.941167
  6   0.0600     0.068516     0.941167     0.077928     0.931561
  7   0.0700     0.077928     0.931561     0.087244     0.921970
  8   0.0800     0.087244     0.921970     0.096463     0.912374
  9   0.0900     0.096463     0.912374     0.105587     0.902753
 10   0.1000     0.105587     0.902753     0.114615     0.893085
 11   0.1100     0.114615     0.893085     0.123545     0.883344
 12   0.1200     0.123545     0.883344     0.132379     0.873505
 13   0.1300     0.132379     0.873505     0.141114     0.863544
 14   0.1400     0.141114     0.863544     0.149749     0.853433
 15   0.1500     0.149749     0.853433     0.158284     0.843145
 16   0.1600     0.158284     0.843145     0.166715     0.832652
 17   0.1700     0.166715     0.832652     0.175042     0.821925
 18   0.1800     0.175042     0.821925     0.183261     0.810937
 19   0.1900     0.183261     0.810937     0.191370     0.799658
 20   0.2000     0.191370     0.799658     0.199367     0.788062
 21   0.2100     0.199367     0.788062     0.207247     0.776119
 22   0.2200     0.207247     0.776119     0.215009     0.763804
 23   0.2300     0.215009     0.763804     0.222647     0.751088
 24   0.2400     0.222647     0.751088     0.230158     0.737948
 25   0.2500     0.230158     0.737948     0.237537     0.724357
 26   0.2600     0.237537     0.724357     0.244781     0.710293
 27   0.2700     0.244781     0.710293     0.251884     0.695735
 28   0.2800     0.251884     0.695735     0.258841     0.680661
 29   0.2900     0.258841     0.680661     0.265648     0.665054
 30   0.3000     0.265648     0.665054     0.272298     0.648897
 31   0.3100     0.272298     0.648897     0.278787     0.632177
 32   0.3200     0.278787     0.632177     0.285109     0.614882
 33   0.3300     0.285109     0.614882     0.291258     0.597003
 34   0.3400     0.291258     0.597003     0.297228     0.578534
