  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050525
  1   1.0500     1.060000    -0.050525     1.006949    -0.084388
  2   2.1000     1.006949    -0.084388     0.918341    -0.075446
  3   3.1500     0.918341    -0.075446     0.839123    -0.064771
  4   4.2000     0.839123    -0.064771     0.771113    -0.056325
  5   5.2500     0.771113    -0.056325     0.711972    -0.049703
  6   6.3000     0.711972    -0.049703     0.659783    -0.044367
  7   7.3500     0.659783    -0.044367     0.613198    -0.039960
  8   8.4000     0.613198    -0.039960     0.571240    -0.036247
  9   9.4500     0.571240    -0.036247     0.533181    -0.033071
 10  10.5000     0.533181    -0.033071     0.498456    -0.030317
 11  11.5500     0.498456    -0.030317     0.466623    -0.027904
 12  12.6000     0.466623    -0.027904     0.437324    -0.025770
 13  13.6500     0.437324    -0.025770     0.410266    -0.023867
