  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050523
  1   1.0500     1.060000    -0.050523     1.006951     2.448010
  2   2.1000     1.006951     2.448010     3.577361     1.968831
  3   3.1500     3.577361     1.968831     5.644633    95.854533
  4   4.2000     5.644633    95.854533   106.291893   372.593135
  5   5.2500   106.291893   372.593135   497.514685 2521828.494825
  6   6.3000   497.514685 2521828.494825 2648417.434251 258478935.763582
  7   7.3500 2648417.434251 258478935.763582 274051299.986012 39010238826320551936.000000
  8   8.4000 274051299.986012 39010238826320551936.000000 40960750767910633472.000000 43222996798416508789194752.000000
  9   9.4500 40960750767910633472.000000 43222996798416508789194752.000000 45384187599088106698964992.000000 144318836642153904803520395010094918730631954555178252763136.000000
 10  10.5000 45384187599088106698964992.000000 144318836642153904803520395010094918730631954555178252763136.000000 151534778474261598928659154834068507590377638650519090102272.000000 196305737009796124675207106874868939354294842495649371007201821108180839563264.000000
 11  11.5500 151534778474261598928659154834068507590377638650519090102272.000000 196305737009796124675207106874868939354294842495649371007201821108180839563264.000000 206121023860285938622270074661765708923427627858012331664136282320995490988032.000000 7307288430721946476628329636160498792043967827307928101117881707008715348159082590785781641318357631216044773748762656808414236137559382230250569965729759129435961070122157735936.000000
 12  12.6000 206121023860285938622270074661765708923427627858012331664136282320995490988032.000000 7307288430721946476628329636160498792043967827307928101117881707008715348159082590785781641318357631216044773748762656808414236137559382230250569965729759129435961070122157735936.000000 7672652852258044520285953244879944981332327448430421925325314720665812411687928338219083630822334763823356789058737933636180649307780571055085667343104197327270188062054482444288.000000 18390187954077853331524048394616248033199934958635827109870694801368273670234592177312770891089986578090570635850721789239341868811379079256249196647079003845808684419724667503362189408321313436990368464645799073072173511844391026688.000000
